issue,Femoral neck fracture
issue,Fatty tumor
issue,Fatigue fracture of the metatarsal
issue,Far-sightedness
issue,Familial tremor
issue,Fainting after standing up
issue,Fainting
issue,Facial paralysis
issue,Facial neuralgia
issue,Eyelid inflammation
issue,Eye allergy
issue,Extreme tendency to fall asleep
issue,Excessive overweight
issue,Excessive noise exposure
issue,Excessive feeling of fear
issue,Eversion of the eyelid
issue,Esophageal corrosion
issue,Esophageal cancer
issue,Erection problems
issue,Epileptic seizures
issue,Enlarged veins of the esophagus
issue,Enlarged lymph nodes
issue,Enlarged and twisted veins
issue,Eating disorder
issue,Earwax blockage
issue,Ear injury with foreign body
issue,Dysfunction of the esophagus
issue,Dupuytren's contracture
issue,Dry skin
issue,Dry nasal mucosa
issue,Dry eye
issue,Drug side effect
issue,Diverticular disease
issue,Disturbed testicular descent
issue,Disseminated sclerosis
issue,Dissection of the aorta
issue,Disorders of lipid metabolism
issue,Disorder causing imbalance of water in the body
issue,Dislocation of kneecap
issue,Diseases of the heart valves
issue,Disease of the motor neurons
issue,Diffuse hair loss
issue,Difficult dentition
issue,Diaphragmatic hernia
issue,Diabetic delayed gastric emptying
issue,Diabetes
issue,Detached retina
issue,Dermatitis
issue,Accident-related bone fracture of elbow
issue,Accident-related bone fracture of arm
issue,Accident-related bone fracture of ankle
issue,Accident injury
issue,Absence seizure
issue,Abscess of the tonsils
issue,Abortion
issue,Abdominal hernia
issue,Deformity of the knee joint
issue,Deformity of the hip joint
issue,Damage to the eye muscle nerves
issue,Curvature of the spine
issue,Crohn's disease
issue,Coronary heart disease
issue,Corneal distorsion
issue,Contact eczema
issue,Congenital eyelid levator weakness
issue,Confusional state
issue,Condition causing overproduction of skin cells
issue,Concussion
issue,Colon cancer
issue,Cold
issue,Coccyx fistula
issue,Cluster headache
issue,Clouding of the eye lens
issue,Clot in a vein
issue,Cirrhosis
issue,Circular hair loss
issue,Chronic vein insufficiency
issue,Chronic tiredness syndrome
issue,Chronic pain disorder
issue,Chronic obstructive lung disease
issue,Chronic muscular pain disorder
issue,Chronic inflammatory bowel disease of colon
issue,Chlamydia infection
issue,Chickenpox
issue,Chicken skin
issue,Chemical eye burn
issue,Change in the mammary glands
issue,Caries
issue,Caffeine withdrawal
issue,Burn
issue,Bunion
issue,Bulimia
issue,Bruise
issue,Broken rib
issue,Breast cancer
issue,Breakbone fever
issue,Brain tumor
issue,Brain damage caused by metabolic disorders
issue,Bowel obstruction
issue,Bowel incontinence
issue,Bone pain
issue,Blood vessel expansion around anus
issue,Blood poisoning
issue,Bloated belly
issue,Blistering disease
issue,Bleeding disorder
issue,Bladder cancer
issue,Black skin cancer
issue,Benign tumor of the adrenal medulla
issue,Benign skin tag
issue,Benign prostate enlargement
issue,Benign proliferation of uterine lining tissue
issue,Benign muscle twitching
issue,Benign muscle cramps
issue,Benign bone tumor
issue,Bekhterev's disease
issue,Baker's cyst
issue,Bad sleeping habits
issue,Bacterial skin infection
issue,Back pain
issue,Autoimmune disease
issue,Auditory vertigo
issue,Arthrosis
issue,Anorexia
issue,Ankle injury
issue,Aneurysm of the main artery
issue,Anal venous thrombosis
issue,Anal abscess
issue,Allergy to bee or wasp venom
issue,Alcohol consumption
issue,Age-related issues
issue,Acute inflammation of lung
issue,Acne
issue,Achilles tendon tear
issue,Accumulation of fluid in the scrotum
issue,Accident-related bone fracture of wrist
issue,Accident-related bone fracture of toe
issue,Accident-related bone fracture of shoulder
issue,Accident-related bone fracture of leg
issue,Accident-related bone fracture of knee
issue,Accident-related bone fracture of hip
issue,Accident-related bone fracture of hand
issue,Accident-related bone fracture of foot
issue,Accident-related bone fracture of finger
issue,Alzheimer type dementia
issue,Depression
issue,Yellow skin bumps
issue,Yellow plague
issue,Yeast infection
issue,Whooping cough
issue,White skin cancer
issue,Whiplash
issue,Water accumulation in the tissues
issue,Water accumulation in the lungs
issue,Voice overuse
issue,Vocal cord paralysis
issue,Vestibular failure
issue,Vertebral fracture
issue,Vascular inflammation
issue,Urinary tract stones
issue,Urinary tract infection
issue,Ulnar nerve entrapment
issue,Ulcer of the skin of the eyelid
issue,Tuberculosis
issue,Tubal pregnancy
issue,Tubal and ovarian inflammation
issue,Trigger finger
issue,Toxoplasmosis infection
issue,Tourette's syndrome
issue,Torsion of testes
issue,Tooth abscess
issue,Tick-borne encephalitis
issue,Thyroid eye disease
issue,Thinning bones
issue,Testicular cancer
issue,Tennis elbow
issue,Tendon tear in shoulder
issue,Tendon sheath inflammation
issue,Temporomandibular joint dysfunction
issue,Tear of the biceps tendon
issue,Tear in the skin of anus
issue,Tarsal tunnel syndrome
issue,Systemic disorder with granulomatous inflammation
issue,Syphilis
issue,Swelling of the thyroid gland
issue,Suspicious change of skin
issue,Superficial form of cellulitis
issue,Sun-related keratosis
issue,Sunburn
issue,Sudden loss of vision
issue,Sudden hearing loss
issue,Subconjunctival bleeding
issue,Stye
issue,Stroke
issue,Stress disorder after trauma
issue,Strain of the regional supporting tissue
issue,Strain of the neck muscles
issue,Strain of the back muscles
issue,Stomach ulcer
issue,Stomach irritation
issue,Stomach flu
issue,Stomach cancer
issue,Stomach bleeding
issue,State of stress
issue,Squint
issue,Sprained ankle
issue,Spondylosis of cervical spine
issue,Sperm cyst
issue,Spastic colon
issue,Smoking
issue,Small sore in mouth
issue,Slipped disc
issue,Sleeping disorder
issue,Sleep apnea
issue,Skin tags of anus
issue,Singer's nodules
issue,Simultaneous malfunction of peripheral nerves
issue,Sick headache
issue,Shoulder girdle compression syndrome
issue,Shoulder dislocation
issue,Short-sightedness
issue,Shock
issue,Shingles
issue,Shaking palsy
issue,Sexually transmitted diseases
issue,Senility
